author,text,published_at,like_count,product_name,product_brand,video_title
@MirAamir-1,"In first you are diabetic, while in others you are prediabetic 😅... #insane",2025-03-28T13:58:23Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@reemaakekisse,Sab m alag alag kyu aa rha h bhaiya,2025-03-28T11:14:02Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@SafinaSeppi-i8v,27.1 shugar level ethraan parayo,2025-03-25T14:06:32Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@Harshal-vo3sr,Great,2025-03-25T12:59:31Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@aqsasaleem8981,Very good,2025-03-20T09:29:55Z,1,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@ibuwidiya,Kok hsil nya beda2...mna yg benar nih...,2025-03-16T10:12:28Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@pradeepchauhanpc,All okk,2025-03-06T12:21:50Z,2,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@dinopalavra876,"Really 8-10 hours? Id say 90% of reviews say its 4-6 hours max, some even say its gone after 2 hours. Thats interesting. Maybe its worth buying after all.",2024-06-27T11:11:49Z,0,Arancia di Capri,acqua di parma,Acqua di Parma Arancia di Capri ~ GaVo* Perfumery
@millenialbroadcast,Do you still wear this fragrance?,2023-10-02T20:11:44Z,0,Arancia di Capri,acqua di parma,Acqua di Parma Arancia di Capri ~ GaVo* Perfumery
@УлугбекУмаров-в9я,Да это летникий аромат безусловно,2022-05-17T12:59:03Z,0,Arancia di Capri,acqua di parma,Acqua di Parma Arancia di Capri ~ GaVo* Perfumery
@ranggatohjaya7612,"Ko mike, tanya dupe acqua di parma",2025-04-20T10:49:01Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@rudysutama493,"Semua lini parfum Acqua di Parma itu Sillage nya 10/100, ketahanan paling 1-2 jam, gradually weaken setelah itu hilang ghoib tak berbekas. Ini kelemahan utamanya. Performa terbaiknya adalah begitu mulai disemprot sampai 5-10 menit pertama. Tapi wangi fragrance nya luar biasa di menit2 awal itu.

Sudah punya semua yg direview koh di sini plus beberapa serie black EDP nya. Semua karakternya sama spt di atas dari yg paling murah smp yg paling mahal, SL nya jeblok, mirip parfum kelas supermarket/counter indomaret. Tapi harga mewah kelas Mall Plaza Senayan.

Kalau harus beli parfum Acqua di Parma, rekomendasi saya sbb:

Man:
1. ADP Essenza (Cologne)
2. ADP Blu Bergamotto di Calabrian (EDT)
3. ADP Colonia Oud (Cologne) discontinued (di online masih ada bbrp toko pro)

Unisex:
4. ADP Oud (EDP)

Woman (EDP):
5. ADP Magnolia Infinita
6. ADP Lily of The Valley
7. ADP Ousmanthus/Yuzu
8. ADP Sakura",2024-11-16T23:38:19Z,3,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@ockeadenry5601,baru liat dan leather tidak dalam top 5 😢,2024-04-04T13:32:44Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@psindhuaji,apa ADP ada clonenya?,2023-09-24T12:07:58Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@kopeda8760,hah adp dibawah 1.5?,2022-11-15T15:41:56Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@Sensuallifetv,Acqua di parma la spugnatura the best menurut gw,2022-07-04T18:15:47Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@ncid8546,Spl ny gimana koh lini acqua di parma..kok gak di sebutin,2022-04-03T09:37:11Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@baniadam1541,"Yg hobinya bacot & protes sm parfum mulutnya bakalan ""tersumpal"" oleh colonia pura wkwkwkwkwk 🤣",2022-04-02T23:35:44Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@divasagita9135,"Ane punya vial Acqua Di parma colonial futura, lama2 scent vibe nya mirip OML, enak banget",2021-12-04T19:19:24Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@andrekurniawan9232,"Ga tertarik review geparlys grey black bang ? 
Katanya mirip sama ysl l’homme le parfum",2021-11-03T05:57:53Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@adirahman11,Lanjut reviuw versace eros parfum koh mike💪🏻❤️,2021-11-03T03:12:45Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@warganet2501,"Bro, ozonic notes itu apa?",2021-11-02T23:00:53Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@ekodianwahyudi5190,Koh..review full Malik Al Tayor by Lattafa dong yg divideo lu sebelumnya bilang mirip banget dgn Lacoste L'homme Intense,2021-11-02T19:21:12Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@akuregulus,review edt adidas bang,2021-11-02T17:48:59Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
